id,title,pin,about,description,category,link,x,y,image
M90_L4,LOTE: MZ 90 LT 4 |  SUPERFICIE: 400m2,hidden,LOTE: MZ 90 LT 4 |  SUPERFICIE: 400m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> disponible  </b><br>Superficie: <b>400 m2</b><br>Precio: $  <b>396000 MXN</b></p>",disponible,https://landrada.mx/cotizador,0.7728,0.484,https://lagunaskuche.com/assets/images/lagunas.jpg
M90_L5,LOTE: MZ 90 LT 5 |  SUPERFICIE: 400m2,hidden,LOTE: MZ 90 LT 5 |  SUPERFICIE: 400m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> disponible  </b><br>Superficie: <b>400 m2</b><br>Precio: $  <b>396000 MXN</b></p>",disponible,https://landrada.mx/cotizador,0.7716,0.5017,https://lagunaskuche.com/assets/images/lagunas.jpg
M90_L6,LOTE: MZ 90 LT 6 |  SUPERFICIE: 400m2,hidden,LOTE: MZ 90 LT 6 |  SUPERFICIE: 400m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> disponible  </b><br>Superficie: <b>400 m2</b><br>Precio: $  <b>396000 MXN</b></p>",disponible,https://landrada.mx/cotizador,0.7689,0.5203,https://lagunaskuche.com/assets/images/lagunas.jpg
M90_L7,LOTE: MZ 90 LT 7 |  SUPERFICIE: 400m2,hidden,LOTE: MZ 90 LT 7 |  SUPERFICIE: 400m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> disponible  </b><br>Superficie: <b>400 m2</b><br>Precio: $  <b>396000 MXN</b></p>",disponible,https://landrada.mx/cotizador,0.7484,0.5189,https://lagunaskuche.com/assets/images/lagunas.jpg
M90_L8,LOTE: MZ 90 LT 8 |  SUPERFICIE: 400m2,hidden,LOTE: MZ 90 LT 8 |  SUPERFICIE: 400m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> disponible  </b><br>Superficie: <b>400 m2</b><br>Precio: $  <b>396000 MXN</b></p>",disponible,https://landrada.mx/cotizador,0.7512,0.5013,https://lagunaskuche.com/assets/images/lagunas.jpg
M90_L9,LOTE: MZ 90 LT 9 |  SUPERFICIE: 400m2,hidden,LOTE: MZ 90 LT 9 |  SUPERFICIE: 400m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> disponible  </b><br>Superficie: <b>400 m2</b><br>Precio: $  <b>396000 MXN</b></p>",disponible,https://landrada.mx/cotizador,0.7531,0.4837,https://lagunaskuche.com/assets/images/lagunas.jpg
M90_L10,LOTE: MZ 90 LT 10 |  SUPERFICIE: 400m2,hidden,LOTE: MZ 90 LT 10 |  SUPERFICIE: 400m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> disponible  </b><br>Superficie: <b>400 m2</b><br>Precio: $  <b>396000 MXN</b></p>",disponible,https://landrada.mx/cotizador,0.7555,0.4664,https://lagunaskuche.com/assets/images/lagunas.jpg
M91_L1,LOTE: MZ 91 LT 1 |  SUPERFICIE: 400m2,hidden,LOTE: MZ 91 LT 1 |  SUPERFICIE: 400m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> disponible  </b><br>Superficie: <b>400 m2</b><br>Precio: $  <b>396000 MXN</b></p>",disponible,https://landrada.mx/cotizador,0.7064,0.4453,https://lagunaskuche.com/assets/images/lagunas.jpg
M91_L2,LOTE: MZ 91 LT 2 |  SUPERFICIE: 400m2,hidden,LOTE: MZ 91 LT 2 |  SUPERFICIE: 400m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> disponible  </b><br>Superficie: <b>400 m2</b><br>Precio: $  <b>396000 MXN</b></p>",disponible,https://landrada.mx/cotizador,0.7268,0.446,https://lagunaskuche.com/assets/images/lagunas.jpg
M91_L3,LOTE: MZ 91 LT 3 |  SUPERFICIE: 400m2,hidden,LOTE: MZ 91 LT 3 |  SUPERFICIE: 400m2,"<p>Status: <b style='color: rgba(238,14,14,0.5);'> disponible  </b><br>Superficie: <b>400 m2</b><br>Precio: $  <b>396000 MXN</b></p>",disponible,https://landrada.mx/cotizador,0.7241,0.4636,https://lagunaskuche.com/assets/images/lagunas.jpg
